query_type,duration
scan_id,0.078072
issue_flag,0.005618
sequence,0.001499
scan_id,0.001998
issue_flag,0.002001
sequence,0.001
scan_id,0.001
issue_flag,0.007001
sequence,0.001499
scan_id,0.001501
issue_flag,0.000999
sequence,0.001499
scan_id,0.002516
issue_flag,0.00776
sequence,0.0015
scan_id,0.0015
issue_flag,0.007176
sequence,0.002499
scan_id,0.002
issue_flag,0.006502
sequence,0.002499
scan_id,0.001502
issue_flag,0.006497
sequence,0.001
scan_id,0.0015
issue_flag,0.001
sequence,0.0005
scan_id,0.001
issue_flag,0.006341
sequence,0.001
scan_id,0.001
issue_flag,0.004999
sequence,0.001
scan_id,0.000999
issue_flag,0.006
sequence,0.000999
scan_id,0.001501
issue_flag,0.005999
sequence,0.002001
scan_id,0.002575
issue_flag,0.001146
sequence,0.000997
scan_id,0.001001
issue_flag,0.000998
sequence,0.0005
scan_id,0.001498
issue_flag,0.006
sequence,0.0035
scan_id,0.001499
issue_flag,0.0015
sequence,0.001002
scan_id,0.001211
issue_flag,0.006655
sequence,0.000997
scan_id,0.0015
issue_flag,0.005556
sequence,0.002074
scan_id,0.001051
issue_flag,0.005536
sequence,0.002
scan_id,0.001499
issue_flag,0.007001
sequence,0.001085
scan_id,0.000521
issue_flag,0.001048
sequence,0.001221
scan_id,0.002001
issue_flag,0.005
sequence,0.001501
scan_id,0.001499
issue_flag,0.007499
sequence,0.001
scan_id,0.001501
issue_flag,0.001
sequence,0.001092
scan_id,0.001408
issue_flag,0.005499
sequence,0.002
scan_id,0.001496
issue_flag,0.001644
sequence,0.001043
scan_id,0.001618
issue_flag,0.001001
sequence,0.0005
scan_id,0.001
issue_flag,0.001
sequence,0.000999
scan_id,0.001001
issue_flag,0.006499
sequence,0.001
scan_id,0.002054
issue_flag,0.0054
sequence,0.0015
scan_id,0.000999
issue_flag,0.007001
sequence,0.001
scan_id,0.002
issue_flag,0.005502
sequence,0.001498
scan_id,0.001499
issue_flag,0.006659
sequence,0.001818
scan_id,0.0015
issue_flag,0.007502
sequence,0.001499
scan_id,0.001501
issue_flag,0.0055
sequence,0.001
scan_id,0.001191
issue_flag,0.007485
sequence,0.0015
scan_id,0.001
issue_flag,0.004998
sequence,0.001387
scan_id,0.001
issue_flag,0.005682
sequence,0.001052
scan_id,0.001047
issue_flag,0.005818
sequence,0.000999
scan_id,0.0015
issue_flag,0.001498
sequence,0.001554
scan_id,0.001498
issue_flag,0.006611
sequence,0.001403
scan_id,0.001564
issue_flag,0.006403
sequence,0.001038
scan_id,0.001573
issue_flag,0.00635
sequence,0.001499
scan_id,0.001999
issue_flag,0.006002
sequence,0.002009
scan_id,0.00199
issue_flag,0.009145
sequence,0.001491
scan_id,0.001998
issue_flag,0.001002
sequence,0.000996
scan_id,0.001499
issue_flag,0.007002
sequence,0.001019
scan_id,0.001481
issue_flag,0.007776
sequence,0.001499
scan_id,0.001499
issue_flag,0.027838
sequence,0.00199
scan_id,0.002497
issue_flag,0.012058
sequence,0.001996
scan_id,0.0025
issue_flag,0.009498
sequence,0.0015
scan_id,0.001499
issue_flag,0.007001
sequence,0.001501
scan_id,0.001499
issue_flag,0.0055
sequence,0.001
scan_id,0.001
issue_flag,0.006
sequence,0.000999
scan_id,0.001019
issue_flag,0.005519
sequence,0.001496
scan_id,0.001133
issue_flag,0.001502
sequence,0.001499
scan_id,0.001
issue_flag,0.007
sequence,0.0015
scan_id,0.002
issue_flag,0.006684
sequence,0.000998
scan_id,0.00154
issue_flag,0.007461
sequence,0.0015
scan_id,0.001499
issue_flag,0.006001
sequence,0.000999
scan_id,0.001499
issue_flag,0.006502
sequence,0.001498
scan_id,0.001
issue_flag,0.005498
sequence,0.001499
scan_id,0.001501
issue_flag,0.007
sequence,0.001002
scan_id,0.001501
issue_flag,0.000998
sequence,0.001599
scan_id,0.001403
issue_flag,0.005002
sequence,0.002498
scan_id,0.001521
issue_flag,0.001048
sequence,0.001053
scan_id,0.001048
issue_flag,0.006057
sequence,0.001498
scan_id,0.001001
issue_flag,0.007116
sequence,0.001812
scan_id,0.001232
issue_flag,0.006002
sequence,0.002166
scan_id,0.001781
issue_flag,0.000681
sequence,0.001501
scan_id,0.001
issue_flag,0.000999
sequence,0.001
scan_id,0.0015
issue_flag,0.006295
sequence,0.002092
scan_id,0.001076
issue_flag,0.001
sequence,0.001
scan_id,0.000999
issue_flag,0.005001
sequence,0.001
scan_id,0.001498
issue_flag,0.006001
sequence,0.001001
scan_id,0.000999
issue_flag,0.00526
sequence,0.001052
scan_id,0.001585
issue_flag,0.007085
sequence,0.001002
scan_id,0.004006
issue_flag,0.008702
sequence,0.001573
scan_id,0.001043
issue_flag,0.001084
sequence,0.001086
scan_id,0.001001
issue_flag,0.001
sequence,0.001001
scan_id,0.001498
issue_flag,0.000501
sequence,0.000501
scan_id,0.001499
issue_flag,0.0065
sequence,0.001237
scan_id,0.001053
issue_flag,0.006522
sequence,0.002501
scan_id,0.000999
issue_flag,0.001002
sequence,0.000999
scan_id,0.001
issue_flag,0.005499
sequence,0.00207
scan_id,0.001194
issue_flag,0.006501
sequence,0.001
scan_id,0.000501
issue_flag,0.0005
sequence,0.000501
scan_id,0.002
issue_flag,0.006435
sequence,0.001551
scan_id,0.001053
issue_flag,0.006238
sequence,0.001
scan_id,0.001499
issue_flag,0.0065
sequence,0.001498
scan_id,0.001521
issue_flag,0.00505
sequence,0.0015
scan_id,0.0015
issue_flag,0.001322
sequence,0.002002
scan_id,0.001498
issue_flag,0.005001
sequence,0.000998
scan_id,0.001002
issue_flag,0.007001
sequence,0.001499
scan_id,0.001501
issue_flag,0.005999
sequence,0.001499
scan_id,0.001001
issue_flag,0.001
sequence,0.001174
scan_id,0.001825
issue_flag,0.005107
sequence,0.002112
scan_id,0.001042
issue_flag,0.005741
sequence,0.001049
scan_id,0.002123
issue_flag,0.009061
sequence,0.0015
scan_id,0.001501
issue_flag,0.011001
sequence,0.001497
scan_id,0.001499
issue_flag,0.007997
sequence,0.001207
scan_id,0.001692
issue_flag,0.006231
sequence,0.001616
scan_id,0.00246
issue_flag,0.00969
sequence,0.002115
scan_id,0.002787
issue_flag,0.008146
sequence,0.002005
scan_id,0.001067
issue_flag,0.000964
sequence,0.001106
scan_id,0.002764
issue_flag,0.008003
sequence,0.002998
scan_id,0.006
issue_flag,0.001503
sequence,0.001002
scan_id,0.0015
issue_flag,0.011498
sequence,0.002345
scan_id,0.001895
issue_flag,0.007999
sequence,0.002581
scan_id,0.001997
issue_flag,0.007999
sequence,0.0015
scan_id,0.002
issue_flag,0.009002
sequence,0.002002
scan_id,0.001501
issue_flag,0.000999
