query_type,duration
scan_id,0.068074
issue_flag,0.00211
sequence,0.0015
scan_id,0.003286
issue_flag,0.017001
sequence,0.005802
scan_id,0.004498
issue_flag,0.017641
sequence,0.003725
scan_id,0.002434
issue_flag,0.019004
sequence,0.003154
scan_id,0.002002
issue_flag,0.011999
sequence,0.002
scan_id,0.0025
issue_flag,0.007
sequence,0.003999
scan_id,0.002001
issue_flag,0.001001
sequence,0.000998
scan_id,0.001501
issue_flag,0.007119
sequence,0.003001
scan_id,0.001919
issue_flag,0.008084
sequence,0.002594
scan_id,0.002329
issue_flag,0.010998
sequence,0.003017
scan_id,0.001965
issue_flag,0.002002
sequence,0.001
scan_id,0.002001
issue_flag,0.008502
sequence,0.003499
scan_id,0.001001
issue_flag,0.000501
sequence,0.000502
scan_id,0.002
issue_flag,0.0075
sequence,0.0025
scan_id,0.003499
issue_flag,0.008
sequence,0.002002
scan_id,0.002001
issue_flag,0.008499
sequence,0.003181
scan_id,0.002998
issue_flag,0.007982
sequence,0.002003
scan_id,0.002997
issue_flag,0.010501
sequence,0.003479
scan_id,0.002501
issue_flag,0.014125
sequence,0.003784
scan_id,0.003441
issue_flag,0.014502
sequence,0.0038
scan_id,0.002044
issue_flag,0.008999
sequence,0.002501
scan_id,0.003545
issue_flag,0.008157
sequence,0.002344
scan_id,0.002999
issue_flag,0.001002
sequence,0.000502
scan_id,0.000999
issue_flag,0.001
sequence,0.001001
scan_id,0.001527
issue_flag,0.009972
sequence,0.002001
scan_id,0.002215
issue_flag,0.008402
sequence,0.002499
scan_id,0.002
issue_flag,0.008182
sequence,0.002018
scan_id,0.003001
issue_flag,0.006687
sequence,0.002313
scan_id,0.002001
issue_flag,0.008267
sequence,0.002129
scan_id,0.003503
issue_flag,0.008619
sequence,0.002077
scan_id,0.001158
issue_flag,0.000977
sequence,0.001001
scan_id,0.002
issue_flag,0.007
sequence,0.002
scan_id,0.002
issue_flag,0.012013
sequence,0.002415
scan_id,0.0015
issue_flag,0.007001
sequence,0.002498
scan_id,0.003958
issue_flag,0.008845
sequence,0.004002
scan_id,0.003504
issue_flag,0.009497
sequence,0.002998
scan_id,0.004016
issue_flag,0.006503
sequence,0.002026
scan_id,0.002629
issue_flag,0.00727
sequence,0.001569
scan_id,0.001588
issue_flag,0.008063
sequence,0.0015
scan_id,0.002001
issue_flag,0.005998
sequence,0.003499
scan_id,0.001998
issue_flag,0.001
sequence,0.000999
scan_id,0.002002
issue_flag,0.0105
sequence,0.001499
scan_id,0.0025
issue_flag,0.008501
sequence,0.002069
scan_id,0.002273
issue_flag,0.007001
sequence,0.001998
scan_id,0.001995
issue_flag,0.009002
sequence,0.001999
scan_id,0.002
issue_flag,0.007001
sequence,0.0025
scan_id,0.002
issue_flag,0.006501
sequence,0.003
scan_id,0.002998
issue_flag,0.008633
sequence,0.002594
scan_id,0.004118
issue_flag,0.009116
sequence,0.002001
scan_id,0.003242
issue_flag,0.010828
sequence,0.002149
scan_id,0.00209
issue_flag,0.008001
sequence,0.002001
scan_id,0.002073
issue_flag,0.001655
sequence,0.001494
scan_id,0.002501
issue_flag,0.007014
sequence,0.003
scan_id,0.002405
issue_flag,0.008262
sequence,0.002001
scan_id,0.002501
issue_flag,0.010588
sequence,0.002928
scan_id,0.002929
issue_flag,0.0075
sequence,0.001502
scan_id,0.00135
issue_flag,0.001297
sequence,0.001007
scan_id,0.002502
issue_flag,0.009001
sequence,0.001777
scan_id,0.002092
issue_flag,0.007903
sequence,0.002765
scan_id,0.00202
issue_flag,0.009479
sequence,0.0035
scan_id,0.002026
issue_flag,0.007978
sequence,0.002533
scan_id,0.002997
issue_flag,0.008501
sequence,0.002695
scan_id,0.002089
issue_flag,0.001988
sequence,0.001
scan_id,0.002
issue_flag,0.006999
sequence,0.003502
scan_id,0.0035
issue_flag,0.007498
sequence,0.0015
scan_id,0.001998
issue_flag,0.009151
sequence,0.002112
