query_type,duration
scan_id,0.231976
issue_flag,0.002002
sequence,0.001497
scan_id,0.029249
issue_flag,0.002623
sequence,0.001577
scan_id,0.017063
issue_flag,0.002083
sequence,0.002
scan_id,0.016286
issue_flag,0.002081
sequence,0.00157
scan_id,0.016148
issue_flag,0.002149
sequence,0.001595
scan_id,0.035812
issue_flag,0.001889
sequence,0.002
scan_id,0.040541
issue_flag,0.003001
sequence,0.0035
scan_id,0.048219
issue_flag,0.002873
sequence,0.002999
scan_id,0.019492
issue_flag,0.002234
sequence,0.002001
scan_id,0.002
issue_flag,0.000998
sequence,0.001003
scan_id,0.016024
issue_flag,0.002
sequence,0.0015
scan_id,0.0005
issue_flag,0.0005
sequence,0.001002
scan_id,0.000998
issue_flag,0.000501
sequence,0.001
scan_id,0.014764
issue_flag,0.002113
sequence,0.001566
scan_id,0.035874
issue_flag,0.00216
sequence,0.001546
scan_id,0.03238
issue_flag,0.002126
sequence,0.001568
scan_id,0.001569
issue_flag,0.000525
sequence,0.000626
scan_id,0.017979
issue_flag,0.002137
sequence,0.001591
scan_id,0.015725
issue_flag,0.002619
sequence,0.002001
scan_id,0.001
issue_flag,0.001
sequence,0.001
scan_id,0.015159
issue_flag,0.001892
sequence,0.001498
scan_id,0.0015
issue_flag,0.000999
sequence,0.001
scan_id,0.015688
issue_flag,0.002121
sequence,0.001523
scan_id,0.014822
issue_flag,0.002221
sequence,0.0025
scan_id,0.011986
issue_flag,0.002121
sequence,0.002
scan_id,0.000999
issue_flag,0.001001
sequence,0.000998
scan_id,0.032401
issue_flag,0.002104
sequence,0.001842
scan_id,0.001499
issue_flag,0.0005
sequence,0.0005
scan_id,0.034001
issue_flag,0.002096
sequence,0.002647
scan_id,0.001051
issue_flag,0.000521
sequence,0.001071
scan_id,0.014818
issue_flag,0.002093
sequence,0.001573
scan_id,0.021471
issue_flag,0.002875
sequence,0.002426
scan_id,0.020644
issue_flag,0.002465
sequence,0.002111
scan_id,0.024404
issue_flag,0.002827
sequence,0.002002
scan_id,0.015655
issue_flag,0.001569
sequence,0.001778
scan_id,0.021898
issue_flag,0.001997
sequence,0.001999
scan_id,0.016408
issue_flag,0.001599
sequence,0.001563
scan_id,0.032865
issue_flag,0.002081
sequence,0.002108
scan_id,0.02072
issue_flag,0.0021
sequence,0.00264
scan_id,0.01493
issue_flag,0.002064
sequence,0.002584
scan_id,0.016056
issue_flag,0.002525
sequence,0.001473
scan_id,0.000999
issue_flag,0.001001
sequence,0.000999
scan_id,0.014004
issue_flag,0.002134
sequence,0.001626
scan_id,0.01564
issue_flag,0.002111
sequence,0.002382
scan_id,0.015624
issue_flag,0.002499
sequence,0.001021
scan_id,0.015001
issue_flag,0.0015
sequence,0.001499
scan_id,0.001501
issue_flag,0.001077
sequence,0.000969
scan_id,0.016663
issue_flag,0.001958
sequence,0.001693
scan_id,0.018287
issue_flag,0.0033
sequence,0.002
scan_id,0.001
issue_flag,0.001
sequence,0.001
scan_id,0.023332
issue_flag,0.002988
sequence,0.0015
scan_id,0.023481
issue_flag,0.001924
sequence,0.0025
scan_id,0.002245
issue_flag,0.001
sequence,0.001
scan_id,0.001499
issue_flag,0.001001
sequence,0.001
scan_id,0.01936
issue_flag,0.002131
sequence,0.00157
scan_id,0.017883
issue_flag,0.002635
sequence,0.001593
scan_id,0.001046
issue_flag,0.00053
sequence,0.000506
scan_id,0.0145
issue_flag,0.001997
sequence,0.002006
scan_id,0.000995
issue_flag,0.001001
sequence,0.001502
scan_id,0.016824
issue_flag,0.002515
sequence,0.001501
scan_id,0.001501
issue_flag,0.000999
sequence,0.001
scan_id,0.017
issue_flag,0.002
sequence,0.001859
scan_id,0.04307
issue_flag,0.002125
sequence,0.002001
scan_id,0.01395
issue_flag,0.002104
sequence,0.001591
scan_id,0.001047
issue_flag,0.000522
sequence,0.000527
scan_id,0.014973
issue_flag,0.002082
sequence,0.001494
scan_id,0.0015
issue_flag,0.0015
sequence,0.00139
scan_id,0.016008
issue_flag,0.001592
sequence,0.001825
scan_id,0.001501
issue_flag,0.000998
sequence,0.001002
scan_id,0.014033
issue_flag,0.00152
sequence,0.001982
scan_id,0.000999
issue_flag,0.001001
sequence,0.001263
scan_id,0.031667
issue_flag,0.002
sequence,0.0025
scan_id,0.001502
issue_flag,0.000501
sequence,0.000503
scan_id,0.013999
issue_flag,0.002
sequence,0.001998
scan_id,0.001501
issue_flag,0.001001
sequence,0.0005
scan_id,0.014091
issue_flag,0.002409
sequence,0.002394
scan_id,0.0015
issue_flag,0.002003
sequence,0.001518
scan_id,0.002345
issue_flag,0.000845
sequence,0.00149
scan_id,0.000998
issue_flag,0.001001
sequence,0.000501
scan_id,0.039004
issue_flag,0.003006
sequence,0.001501
scan_id,0.036226
issue_flag,0.001586
sequence,0.001064
scan_id,0.032222
issue_flag,0.002499
sequence,0.002001
scan_id,0.015179
issue_flag,0.00211
sequence,0.002112
scan_id,0.017313
issue_flag,0.00157
sequence,0.001588
scan_id,0.014623
issue_flag,0.002098
sequence,0.001521
scan_id,0.017385
issue_flag,0.002022
sequence,0.001897
scan_id,0.001323
issue_flag,0.001499
sequence,0.0005
scan_id,0.016612
issue_flag,0.002314
sequence,0.002501
scan_id,0.015446
issue_flag,0.001518
sequence,0.001504
scan_id,0.032775
issue_flag,0.001988
sequence,0.002505
scan_id,0.003003
issue_flag,0.001496
sequence,0.001002
scan_id,0.019749
issue_flag,0.002102
sequence,0.001572
scan_id,0.033396
issue_flag,0.002363
sequence,0.002998
scan_id,0.038977
issue_flag,0.001591
sequence,0.001574
